timestamp,service,action,src,country,dst,proto,spt,dpt,status
2026-02-17 12:08:44,ufw,BLOCK,108.160.160.164,United States,192.168.1.107,TCP,80,53608,0
2026-02-18 14:02:28,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:02:40,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:02:41,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:02:41,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:02:58,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:02:59,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:03:00,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:03:00,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:03:02,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:03:03,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:03:07,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:03:10,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:03:30,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:03:54,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:04:12,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:04:29,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:05:01,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:05:14,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:05:28,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:05:51,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:06:09,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:06:28,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:06:49,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:07:18,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
2026-02-18 14:07:56,ufw,BLOCK,94.71.2.233,Greece,192.168.1.107,TCP,63556,46630,0
